caseid,policy_gun,policy_cappun,policy_pot,policy_prostitute,policy_healthcare,policy_taxcut,policy_affect,policy_nuke,policy_warming,policy_draft,pk_house,pk_senate,pk_ag,pk_senleader,pk_justice,pk_override,pk_nominate,pk_term,pk_conservparty,birthyr,gender,pid7,pid3_t,pid3,race,race_other,educ,marstat,employ,employ_t,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,religpew_t,religpew_protestant,ideo5,newsint,faminc,votereg,inputstate
152027853,6,6,6,6,6,6,6,6,6,6,1,2,4,1,2,2,3,2,2,1988,2,,__NA__,5,2,__NA__,2,5,2,__NA__,1,2,4,5,11, ,99,6,4,1,3,12
152232289,6,3,1,1,5,6,3,3,6,4,2,2,2,2,5,1,1,2,3,1972,2,5,__NA__,5,7,__NA__,4,1,9,__NA__,1,1,2,2,1,__NA__,6,4,4,6,2,22
152252729,4,6,3,4,4,4,4,4,4,3,2,1,1,5,2,2,3,4,2,1986,2,4,__NA__,5,1,__NA__,3,6,1,__NA__,2,2,5,6,11,__NA__,99,3,4,5,1,18
152370374,6,6,6,4,3,6,6,5,6,4,3,1,4,5,2,3,1,2,3,1955,1,4,__NA__,5,1,__NA__,2,1,6,__NA__,1,1,5,6,1,__NA__,7,6,3,8,1,34
152374752,6,1,6,5,6,6,5,1,6,4,2,1,4,2,5,2,1,4,2,1962,1,3,__NA__,5,1,__NA__,6,3,1,__NA__,2,4,6,7,9,__NA__,99,1,1,6,1,25
152400710,6,3,4,2,4,6,5,3,6,1,1,1,2,1,1,2,3,1,2,1973,2,4,__NA__,5,1,__NA__,4,1,7,__NA__,2,3,5,7,11,__NA__,99,2,4,3,2,53
152406079,4,6,4,4,1,6,4,4,5,1,2,1,4,2,1,3,3,4,2,1978,2,4,__NA__,5,1,__NA__,2,5,4,__NA__,2,3,6,8,11,__NA__,99,3,4,4,1,42
152406081,6,6,4,2,2,6,1,4,4,6,1,1,1,4,2,2,8,1,2,1958,2,5,__NA__,5,6,__NA__,6,1,5,__NA__,2,1,1,1,11,__NA__,99,5,2,4,1,48
152521574,3,3,3,1,6,4,4,4,3,3,8,8,8,8,1,1,8,2,8,1991,2,4,__NA__,5,3,__NA__,2,5,2,__NA__,1,2,2,6,2,__NA__,99,3,2,2,2,8
152709692,3,2,4,1,5,2,4,5,6,3,2,2,3,4,5,3,2,3,3,1991,2,,__NA__,5,5,__NA__,4,1,1,__NA__,2,2,3,5,2,__NA__,99,6,3,3,2,6
153227948,1,4,6,4,6,6,6,1,6,2,2,1,4,2,2,2,1,4,3,1956,1,4,__NA__,5,2,__NA__,3,5,4,__NA__,1,4,7,8,1,__NA__,2,5,3,3,1,36
153291839,4,1,1,1,4,3,6,4,4,1,2,1,4,8,8,2,3,1,3,1976,2,,__NA__,5,2,__NA__,3,3,1,__NA__,1,1,1,1,1,__NA__,10,6,7,3,1,22
153303470,3,3,1,1,3,6,4,3,3,3,3,3,2,1,4,1,2,3,3,1963,2,4,__NA__,5,1,__NA__,2,1,7,__NA__,2,2,5,2,11,__NA__,2,6,7,8,1,51
153364764,6,1,1,1,6,6,6,1,6,3,2,2,8,5,1,8,3,2,3,1964,2,4,__NA__,5,3,__NA__,4,2,1,__NA__,1,1,2,1,1,__NA__,6,6,1,2,2,36
153405109,4,3,3,4,4,4,4,3,3,4,2,1,5,1,4,2,1,4,2,1952,1,3,__NA__,5,2,__NA__,2,1,4,__NA__,2,3,5,6,11,__NA__,99,3,2,31,2,42
151904863,6,1,1,1,6,6,4,1,6,1,1,1,2,2,5,2,1,1,2,1942,2,3,__NA__,3,1,__NA__,6,1,5,__NA__,2,1,1,1,2,__NA__,99,3,1,97,1,6
152095513,6,5,5,5,6,6,4,5,6,5,2,1,4,2,5,2,1,2,2,1941,1,3,__NA__,3,1,__NA__,3,1,9,__NA__,2,4,6,2,10,__NA__,99,3,1,8,1,4
152095648,6,2,6,5,6,6,6,1,6,6,2,1,4,2,5,8,1,4,2,1982,1,3,__NA__,4,1,__NA__,6,6,2,__NA__,2,4,6,7,11,__NA__,99,1,1,2,1,51
152138313,6,3,5,3,6,5,6,3,6,3,2,2,4,2,5,2,1,2,3,1980,1,3,__NA__,3,2,__NA__,6,5,1,__NA__,2,1,3,1,2,__NA__,99,2,1,9,1,6
152152912,6,2,5,4,6,6,4,3,5,3,2,8,1,5,4,2,1,2,8,1947,2,3,__NA__,3,1,__NA__,3,1,5,__NA__,2,2,5,3,11,__NA__,2,2,2,4,1,48
152182298,6,2,5,4,6,6,1,5,6,6,2,1,4,2,5,2,1,4,2,1943,1,3,__NA__,3,1,__NA__,3,1,5,__NA__,2,3,6,6,11,__NA__,99,3,1,4,1,6
152189900,6,1,4,4,6,6,5,4,6,1,2,1,4,2,1,2,1,2,2,1958,2,3,__NA__,3,1,__NA__,6,1,2,__NA__,2,1,2,1,2,__NA__,99,3,2,8,1,36
152194768,6,4,6,3,4,4,4,4,5,2,8,1,8,8,8,2,2,1,2,1988,2,4,__NA__,3,1,__NA__,6,5,1,__NA__,2,3,4,6,1,__NA__,4,2,3,4,1,8
152194792,1,6,6,1,1,6,6,6,1,1,3,3,4,2,4,1,3,1,3,1970,2,4,__NA__,3,5,__NA__,3,3,1,__NA__,2,1,5,1,11,__NA__,99,2,2,7,1,12
